CountryName,CountryCode,Year,Enroll_Secondary_Gross,Unemployment_Total
South Africa,ZAF,1991,86.8720092773438,35.273
South Africa,ZAF,1994,89.6537322998047,36.39066666666667
South Africa,ZAF,1998,85.8771896362305,36.653666666666666
South Africa,ZAF,1999,82.5389862060547,36.88733333333334
South Africa,ZAF,2000,78.1558532714844,36.78133333333333
South Africa,ZAF,2001,77.4757308959961,36.559
South Africa,ZAF,2002,76.9122772216797,36.428666666666665
South Africa,ZAF,2003,76.4124908447266,36.55766666666667
South Africa,ZAF,2004,77.4297485351562,36.474
South Africa,ZAF,2005,78.0467529296875,36.464
South Africa,ZAF,2006,80.7229995727539,36.37233333333333
South Africa,ZAF,2007,82.5455474853516,36.446333333333335
South Africa,ZAF,2008,81.6763763427734,36.77766666666667
South Africa,ZAF,2009,83.7058792114258,38.75666666666667
South Africa,ZAF,2010,85.1267929077148,45.748
South Africa,ZAF,2011,88.2877883911133,39.922
South Africa,ZAF,2012,92.5222702026367,42.163666666666664
South Africa,ZAF,2014,105.673553466797,44.199000000000005
South Africa,ZAF,2015,110.168930053711,42.364000000000004
South Africa,ZAF,2016,109.774078369141,44.38766666666667
South Africa,ZAF,2017,111.627403259277,43.145999999999994
South Africa,ZAF,2018,108.520568847656,44.131
South Africa,ZAF,2019,111.206802368164,47.68133333333333
South Africa,ZAF,2020,110.017478942871,43.824333333333335
South Africa,ZAF,2021,111.801963806152,50.12966666666667
South Africa,ZAF,2022,108.304618835449,50.14833333333333
